rno	date	time	uno	sno	hno	addTF	price	complete
494	2024-08-14	16:00	14	4	5,23	0,0	205000	1
495	2024-08-14	18:00	65	4	3,11	0,0	380000	1
496	2024-08-14	10:00	22	5	16,18	0,0	190000	1
497	2024-08-14	12:00	34	5	5	0	180000	1
498	2024-08-14	13:00	19	5	19,20	0,0	60000	1
499	2024-08-14	15:00	76	5	3	0	180000	1
500	2024-08-14	16:00	4	5	11	0	200000	1
501	2024-08-14	17:00	50	5	7,9	0,0	240000	1
502	2024-08-14	11:00	41	6	9,13	0,0	280000	1
503	2024-08-14	15:00	58	6	23	0	25000	1
504	2024-08-14	17:00	43	6	13,25	0,0	125000	1
505	2024-08-14	10:00	45	10	12,18	0,0	130000	1
506	2024-08-14	12:00	70	10	1,4	0,0	235000	1
507	2024-08-14	14:00	23	10	11,19	0,0	250000	1
508	2024-08-14	16:00	44	10	6,21	0,0	75000	1
509	2024-08-14	10:00	27	11	8,19	0,0	170000	1
510	2024-08-14	13:00	4	11	16	0	140000	1
511	2024-08-14	15:00	26	11	15	0	230000	1
512	2024-08-14	17:00	1	11	17,21	0,0	85000	1
513	2024-08-14	19:00	7	11	17	0	70000	1
514	2024-08-15	11:00	54	1	5,17	0,0	325000	1
515	2024-08-15	14:00	29	1	12	0	104000	1
516	2024-08-15	15:00	4	1	1,9	0,0	279500	1
517	2024-08-15	17:00	1	1	14,22	1,0	208000	1
518	2024-08-15	10:00	77	2	18	0	60000	1
519	2024-08-15	12:00	61	2	1,11	0,0	282000	1
520	2024-08-15	15:00	20	2	17	0	84000	1
521	2024-08-15	16:00	68	2	11,17	0,0	324000	1
522	2024-08-15	18:00	43	2	24	0	36000	1
523	2024-08-15	19:00	29	2	12	0	96000	1
524	2024-08-15	10:00	66	4	19	0	50000	1
525	2024-08-15	11:00	44	4	12,24	0,0	110000	1
526	2024-08-15	14:00	41	4	19	0	50000	1
527	2024-08-15	15:00	11	4	3,16	0,0	320000	1
528	2024-08-15	17:00	18	4	12,23	0,0	105000	1
529	2024-08-15	19:00	51	4	1	0	35000	1
530	2024-08-15	10:00	25	6	1,3	0,0	215000	1
531	2024-08-15	13:00	20	6	9	0	180000	1
532	2024-08-15	14:00	70	6	7	0	60000	1
533	2024-08-15	16:00	47	6	7	0	60000	1
534	2024-08-15	17:00	19	6	11,18	0,0	250000	1
535	2024-08-15	10:00	80	7	2,14	0,0	270000	1
536	2024-08-15	12:00	33	7	4	0	200000	1
537	2024-08-15	13:00	48	7	14	0	120000	1
538	2024-08-15	15:00	8	7	10,17	0,0	270000	1
539	2024-08-15	17:00	20	7	6,21	0,0	75000	1
540	2024-08-15	10:00	31	9	20	0	10000	1
541	2024-08-15	11:00	76	9	3,13	0,0	280000	1
542	2024-08-15	13:00	52	9	7	0	60000	1
543	2024-08-15	14:00	21	9	16,21	0,0	155000	1
544	2024-08-15	17:00	17	9	1,5	0,0	215000	1
545	2024-08-16	10:00	15	1	17,20	0,0	104000	1
546	2024-08-16	13:00	74	1	9,11	0,0	494000	1
547	2024-08-16	16:00	15	1	12	0	104000	1
548	2024-08-16	17:00	23	1	7,9	0,0	312000	1
549	2024-08-16	10:00	25	2	2,9	0,0	396000	1
550	2024-08-16	12:00	36	2	3,6	0,0	288000	1
551	2024-08-16	14:00	58	2	16	0	168000	1
552	2024-08-16	15:00	72	2	20	0	12000	1
553	2024-08-16	16:00	68	2	14	0	144000	1
554	2024-08-16	17:00	50	2	7,21	0,0	90000	1
555	2024-08-16	10:00	24	3	4,12	0,0	308000	1
556	2024-08-16	14:00	11	3	19	0	55000	1
557	2024-08-16	15:00	16	3	14	0	132000	1
558	2024-08-16	16:00	16	3	2	0	165000	1
559	2024-08-16	17:00	56	3	6,21	0,0	82500	1
560	2024-08-16	19:00	62	3	15	0	253000	1
561	2024-08-16	10:00	54	4	5,20	0,0	190000	1
562	2024-08-16	12:00	63	4	9	0	180000	1
563	2024-08-16	13:00	66	4	2,5	0,0	330000	1
564	2024-08-16	15:00	43	4	6,9	0,0	240000	1
565	2024-08-16	18:00	39	4	9,12	0,0	260000	1
566	2024-08-16	10:00	16	6	8,11	0,0	320000	1
567	2024-08-16	12:00	33	6	21,24	0,0	45000	1
568	2024-08-16	15:00	28	6	10,20	0,0	210000	1
569	2024-08-16	17:00	58	6	24	0	30000	1
570	2024-08-16	19:00	76	6	6	0	60000	1
571	2024-08-16	10:00	44	7	8,13	0,0	220000	1
572	2024-08-16	14:00	15	7	3,4	0,0	380000	1
573	2024-08-16	16:00	14	7	16	0	140000	1
574	2024-08-16	17:00	32	7	3,15	0,0	410000	1
575	2024-08-16	11:00	39	8	7	0	60000	1
576	2024-08-16	13:00	64	8	2,4	0,0	350000	1
577	2024-08-16	15:00	35	8	3,7	0,0	240000	1
578	2024-08-16	18:00	29	8	6,9	0,0	240000	1
579	2024-08-16	10:00	22	11	22,23	0,0	45000	1
580	2024-08-16	12:00	21	11	11,13	0,0	300000	1
581	2024-08-16	15:00	1	11	6,11	0,0	260000	1
582	2024-08-16	17:00	19	11	2,13	0,0	250000	1
583	2024-08-17	10:00	78	1	13,15	0,0	429000	1
584	2024-08-17	12:00	68	1	1,11	0,0	305500	1
585	2024-08-17	14:00	2	1	10,18	0,0	325000	1
586	2024-08-17	17:00	68	1	6,19	0,0	143000	1
587	2024-08-17	10:00	7	3	3,23	0,0	225500	1
588	2024-08-17	12:00	46	3	15,19	0,0	308000	1
589	2024-08-17	14:00	23	3	8	0	132000	1
590	2024-08-17	15:00	47	3	1	0	38500	1
591	2024-08-17	16:00	77	3	6,7	0,0	132000	1
592	2024-08-17	18:00	73	3	2,6	0,0	231000	1
593	2024-08-17	10:00	49	4	3	0	180000	1
594	2024-08-17	11:00	47	4	1	0	35000	1
595	2024-08-17	12:00	80	4	1,7	0,0	95000	1
596	2024-08-17	15:00	19	4	6,10	0,0	260000	1
597	2024-08-17	18:00	23	4	1,16	0,0	175000	1
598	2024-08-17	10:00	27	5	3,24	0,0	210000	1
599	2024-08-17	13:00	62	5	5,7	0,0	240000	1
600	2024-08-17	15:00	5	5	4,22	0,0	220000	1
601	2024-08-17	17:00	72	5	2	0	150000	1
602	2024-08-17	18:00	58	5	14,19	0,0	170000	1
603	2024-08-17	12:00	4	6	16,22	0,0	160000	1
604	2024-08-17	14:00	6	6	5	0	180000	1
605	2024-08-17	17:00	67	6	17,18	0,0	120000	1
606	2024-08-17	10:00	37	7	25	0	25000	1
607	2024-08-17	14:00	55	7	7	0	60000	1
608	2024-08-17	15:00	39	7	1,10	0,0	235000	1
609	2024-08-17	17:00	60	7	7	0	60000	1
610	2024-08-17	10:00	54	8	12	0	80000	1
611	2024-08-17	12:00	58	8	2,21	0,0	165000	1
612	2024-08-17	14:00	63	8	10,14	0,0	320000	1
613	2024-08-17	16:00	35	8	23	0	25000	1
614	2024-08-17	17:00	14	8	22	0	20000	1
615	2024-08-17	10:00	50	9	24	0	30000	1
616	2024-08-17	15:00	72	9	13,16	0,0	240000	1
617	2024-08-17	17:00	20	9	3	0	180000	1
618	2024-08-17	18:00	14	9	5,19	0,0	230000	1
619	2024-08-17	10:00	48	10	6,17	0,0	130000	1
620	2024-08-17	12:00	28	10	20	0	10000	1
621	2024-08-17	13:00	5	10	8,16	0,0	260000	1
622	2024-08-17	17:00	38	10	7,23	0,0	85000	1
623	2024-08-17	10:00	14	11	10,14	0,0	320000	1
624	2024-08-17	12:00	34	11	14,19	0,0	170000	1
625	2024-08-17	14:00	17	11	5,17	0,0	250000	1
626	2024-08-17	16:00	19	11	17	0	70000	1
627	2024-08-17	17:00	61	11	16,23	0,0	165000	1
628	2024-08-17	19:00	13	11	6	0	60000	1
629	2024-08-18	10:00	12	2	6,11	0,0	312000	1
630	2024-08-18	12:00	43	2	18,24	0,0	96000	1
631	2024-08-18	14:00	23	2	17	0	84000	1
632	2024-08-18	16:00	52	2	16	0	168000	1
633	2024-08-18	11:00	23	3	2,20	0,0	176000	1
634	2024-08-18	13:00	17	3	11,17	0,0	297000	1
635	2024-08-18	15:00	71	3	7,9	0,0	264000	1
636	2024-08-18	17:00	19	3	14,18	0,0	187000	1
637	2024-08-18	11:00	50	4	11,12	0,0	280000	1
638	2024-08-18	14:00	2	4	13,17	0,0	170000	1
639	2024-08-18	16:00	43	4	17	0	70000	1
640	2024-08-18	17:00	51	4	14,25	0,0	145000	1
641	2024-08-18	10:00	28	5	9,18	0,0	230000	1
642	2024-08-18	12:00	28	5	8,20	0,0	130000	1
643	2024-08-18	17:00	37	5	14	0	120000	1
644	2024-08-18	18:00	32	5	8,13	0,0	220000	1
645	2024-08-18	10:00	10	6	10,15	0,0	430000	1
646	2024-08-18	12:00	32	6	7,17	0,0	130000	1
647	2024-08-18	14:00	36	6	14,20	0,0	130000	1
648	2024-08-18	16:00	17	6	3,4	0,0	380000	1
649	2024-08-18	10:00	1	7	14	0	120000	1
650	2024-08-18	11:00	67	7	4,20	0,0	210000	1
651	2024-08-18	13:00	11	7	2,14	0,0	270000	1
652	2024-08-18	16:00	25	7	4,16	0,0	340000	1
653	2024-08-18	10:00	68	8	1,21	0,0	50000	1
654	2024-08-18	13:00	15	8	9	0	180000	1
655	2024-08-18	14:00	34	8	13,14	0,0	220000	1
656	2024-08-18	16:00	29	8	25	0	25000	1
657	2024-08-18	17:00	28	8	18	0	50000	1
658	2024-08-18	18:00	36	8	4,8	0,0	320000	1
659	2024-08-18	10:00	63	9	3,11	0,0	380000	1
660	2024-08-18	12:00	39	9	16	0	140000	1
661	2024-08-18	13:00	55	9	6,16	0,0	200000	1
662	2024-08-18	15:00	20	9	5,22	0,0	200000	1
663	2024-08-18	10:00	55	10	10,17	0,0	270000	1
664	2024-08-18	12:00	59	10	7	0	60000	1
665	2024-08-18	13:00	39	10	14	0	120000	1
666	2024-08-18	14:00	65	10	17,22	0,0	90000	1
667	2024-08-18	16:00	50	10	18,19	0,0	100000	1
668	2024-08-18	18:00	67	10	7,20	0,0	70000	1
669	2024-08-18	11:00	74	11	1,17	0,0	105000	1
670	2024-08-18	13:00	43	11	19	0	50000	1
671	2024-08-18	14:00	76	11	1,17	0,0	105000	1
672	2024-08-18	16:00	28	11	1,16	0,0	175000	1
673	2024-08-18	18:00	8	11	5,7	0,0	240000	1
674	2024-08-19	10:00	23	1	14,23	0,0	188500	1
675	2024-08-19	12:00	5	1	2,15	0,0	494000	1
676	2024-08-19	14:00	12	1	1,6	0,0	123500	1
677	2024-08-19	16:00	6	1	7	0	78000	1
678	2024-08-19	17:00	39	1	5,10	0,0	494000	1
679	2024-08-19	10:00	42	2	4,12	0,0	336000	1
680	2024-08-19	13:00	45	2	16,20	0,0	180000	1
681	2024-08-19	15:00	38	2	9,21	0,0	234000	1
682	2024-08-19	17:00	28	2	8,18	0,0	204000	1
683	2024-08-19	19:00	77	2	18	0	60000	1
684	2024-08-19	10:00	38	3	3,15	0,0	451000	1
685	2024-08-19	13:00	75	3	9	0	198000	1
686	2024-08-19	14:00	70	3	18,21	0,0	71500	1
687	2024-08-19	17:00	7	3	22,25	0,0	49500	1
688	2024-08-19	19:00	63	3	15	0	253000	1
689	2024-08-19	10:00	7	5	1,5	0,0	215000	1
690	2024-08-19	13:00	60	5	10,23	0,0	225000	1
691	2024-08-19	15:00	8	5	4,17	0,0	270000	1
692	2024-08-19	17:00	55	5	1	0	35000	1
693	2024-08-19	18:00	33	5	2,12	0,0	230000	1
694	2024-08-19	11:00	77	7	2,6	0,0	210000	1
695	2024-08-19	15:00	15	7	7,10	0,0	260000	1
696	2024-08-19	17:00	52	7	13,19	0,0	150000	1
697	2024-08-19	19:00	78	7	2	0	150000	1
698	2024-08-19	10:00	53	8	2,16	0,0	290000	1
699	2024-08-19	13:00	17	8	7,15	0,0	290000	1
700	2024-08-19	16:00	11	8	1,2	0,0	185000	1
701	2024-08-19	18:00	15	8	1,9	0,0	215000	1
702	2024-08-19	10:00	80	9	19,23	0,0	75000	1
703	2024-08-19	12:00	76	9	4,6	0,0	260000	1
704	2024-08-19	14:00	41	9	3,25	0,0	205000	1
705	2024-08-19	10:00	70	10	24	0	30000	1
706	2024-08-19	12:00	36	10	1,7	0,0	95000	1
707	2024-08-19	14:00	80	10	12	0	80000	1
708	2024-08-19	15:00	56	10	6,9	0,0	240000	1
709	2024-08-19	17:00	16	10	5,6	0,0	240000	1
710	2024-08-19	11:00	38	11	1,8	0,0	155000	1
711	2024-08-19	13:00	26	11	10,18	0,0	250000	1
712	2024-08-19	15:00	33	11	12	0	80000	1
713	2024-08-19	18:00	73	11	3	0	180000	1
714	2024-08-19	19:00	11	11	15	0	230000	1
715	2024-08-20	10:00	36	1	4,14	0,0	416000	1
716	2024-08-20	13:00	44	1	5,20	0,0	247000	1
717	2024-08-20	15:00	22	1	8,18	0,0	221000	1
718	2024-08-20	17:00	49	1	14,25	0,0	188500	1
719	2024-08-20	19:00	51	1	2	0	195000	1
720	2024-08-20	10:00	4	2	5,6	0,0	288000	1
721	2024-08-20	12:00	51	2	14	0	144000	1
722	2024-08-20	13:00	16	2	5,20	0,0	228000	1
723	2024-08-20	16:00	15	2	1,22	0,0	66000	1
724	2024-08-20	18:00	45	2	16,22	0,0	192000	1
725	2024-08-20	10:00	31	3	1	0	38500	1
726	2024-08-20	11:00	71	3	17,25	0,0	104500	1
727	2024-08-20	14:00	30	3	8,11	0,0	352000	1
728	2024-08-20	16:00	43	3	5	0	198000	1
729	2024-08-20	17:00	9	3	15	0	253000	1
730	2024-08-20	18:00	8	3	5,24	0,0	231000	1
731	2024-08-20	10:00	25	5	2,4	0,0	350000	1
732	2024-08-20	12:00	73	5	17,22	0,0	90000	1
733	2024-08-20	14:00	69	5	7,14	0,0	180000	1
734	2024-08-20	16:00	33	5	21	0	15000	1
735	2024-08-20	18:00	11	5	3,20	0,0	190000	1
736	2024-08-20	10:00	75	8	8,21	0,0	135000	1
737	2024-08-20	13:00	26	8	20	0	10000	1
738	2024-08-20	14:00	27	8	3,25	0,0	205000	1
739	2024-08-20	16:00	21	8	10,16	0,0	340000	1
740	2024-08-20	18:00	17	8	2,4	0,0	350000	1
741	2024-08-20	10:00	9	9	9,20	0,0	190000	1
742	2024-08-20	12:00	46	9	11	0	200000	1
743	2024-08-20	13:00	14	9	14,21	0,0	135000	1
744	2024-08-20	15:00	45	9	5,15	0,0	410000	1
745	2024-08-20	17:00	64	9	4,7	0,0	260000	1
746	2024-08-20	10:00	74	10	4,17	0,0	270000	1
747	2024-08-20	12:00	8	10	10,25	0,0	225000	1
748	2024-08-20	15:00	33	10	1	0	35000	1
749	2024-08-20	19:00	77	10	14	0	120000	1
750	2024-08-21	10:00	6	1	16	0	182000	1
751	2024-08-21	11:00	75	1	13	0	130000	1
752	2024-08-21	13:00	12	1	8,12	0,0	260000	1
753	2024-08-21	15:00	71	1	16,22	0,0	208000	1
754	2024-08-21	17:00	4	1	4,12	0,0	364000	1
755	2024-08-21	11:00	54	2	7,15	0,0	348000	1
756	2024-08-21	13:00	36	2	18,21	0,0	78000	1
757	2024-08-21	16:00	76	2	6,9	0,0	288000	1
758	2024-08-21	18:00	79	2	7	0	72000	1
759	2024-08-21	10:00	65	4	11	0	200000	1
760	2024-08-21	12:00	42	4	9,16	0,0	320000	1
761	2024-08-21	14:00	25	4	5,11	0,0	380000	1
762	2024-08-21	16:00	62	4	6,15	0,0	290000	1
763	2024-08-21	18:00	76	4	5,8	0,0	300000	1
764	2024-08-21	10:00	72	5	1,10	0,0	235000	1
765	2024-08-21	13:00	52	5	8	0	120000	1
766	2024-08-21	15:00	51	5	18	0	50000	1
767	2024-08-21	17:00	55	5	5,20	0,0	190000	1
768	2024-08-21	10:00	56	6	6	0	60000	1
769	2024-08-21	11:00	60	6	9	0	180000	1
770	2024-08-21	12:00	65	6	6,22	0,0	80000	1
771	2024-08-21	15:00	55	6	10,18	0,0	250000	1
772	2024-08-21	17:00	66	6	14	0	120000	1
773	2024-08-21	18:00	26	6	16,22	0,0	160000	1
774	2024-08-21	11:00	13	10	6	0	60000	1
775	2024-08-21	12:00	25	10	11,14	0,0	320000	1
776	2024-08-21	14:00	46	10	14,15	0,0	350000	1
777	2024-08-21	17:00	73	10	4,16	0,0	340000	1
778	2024-08-21	10:00	52	11	16,25	0,0	165000	1
779	2024-08-21	18:00	34	11	13,14	0,0	220000	1
780	2024-08-22	10:00	53	1	1,2	0,0	240500	1
781	2024-08-22	12:00	38	1	6,9	0,0	312000	1
782	2024-08-22	14:00	39	1	8,12	0,0	260000	1
783	2024-08-22	16:00	73	1	4,6	0,0	338000	1
784	2024-08-22	18:00	39	1	3,7	0,0	312000	1
785	2024-08-22	10:00	64	2	4,15	0,0	516000	1
786	2024-08-22	12:00	35	2	1,19	0,0	102000	1
787	2024-08-22	14:00	15	2	4,13	0,0	360000	1
788	2024-08-22	16:00	5	2	7	0	72000	1
789	2024-08-22	17:00	77	2	12,17	0,0	180000	1
790	2024-08-22	11:00	52	4	6,20	0,0	70000	1
791	2024-08-22	13:00	11	4	3	0	180000	1
792	2024-08-22	14:00	18	4	7,17	0,0	130000	1
793	2024-08-22	16:00	10	4	3,11	0,0	380000	1
794	2024-08-22	18:00	55	4	15,18	0,0	280000	1
795	2024-08-22	10:00	54	6	7,16	0,0	200000	1
796	2024-08-22	12:00	24	6	17	0	70000	1
797	2024-08-22	13:00	2	6	10	0	200000	1
798	2024-08-22	16:00	77	6	4	0	200000	1
799	2024-08-22	18:00	22	6	11	0	200000	1
800	2024-08-22	19:00	52	6	18	0	50000	1
801	2024-08-22	11:00	13	7	1,15	0,0	265000	1
802	2024-08-22	13:00	76	7	1,4	0,0	235000	1
803	2024-08-22	15:00	54	7	8	0	120000	1
804	2024-08-22	16:00	7	7	4	0	200000	1
805	2024-08-22	17:00	73	7	9,13	0,0	280000	1
806	2024-08-22	19:00	78	7	12	0	80000	1
807	2024-08-22	11:00	49	9	11	0	200000	1
808	2024-08-22	12:00	45	9	1,24	0,0	65000	1
809	2024-08-22	14:00	5	9	11,21	0,0	215000	1
810	2024-08-22	17:00	19	9	6,20	0,0	70000	1
811	2024-08-22	19:00	54	9	16	0	140000	1
812	2024-08-23	11:00	18	1	10	0	260000	1
813	2024-08-23	12:00	51	1	2,5	0,0	429000	1
814	2024-08-23	14:00	13	1	4,6	0,0	338000	1
815	2024-08-23	17:00	2	1	1,7	0,0	123500	1
816	2024-08-23	10:00	16	2	19,20	0,0	72000	1
817	2024-08-23	13:00	55	2	18	0	60000	1
818	2024-08-23	15:00	44	2	1,25	0,0	72000	1
819	2024-08-23	18:00	48	2	10,20	0,0	252000	1
820	2024-08-23	10:00	71	3	3,12	0,0	286000	1
821	2024-08-23	13:00	25	3	14,25	0,0	159500	1
822	2024-08-23	16:00	18	3	6	0	66000	1
823	2024-08-23	17:00	74	3	12,15	0,0	341000	1
824	2024-08-23	10:00	27	4	20,22	0,0	30000	1
825	2024-08-23	12:00	30	4	6,17	0,0	130000	1
826	2024-08-23	14:00	8	4	6,9	0,0	240000	1
827	2024-08-23	18:00	22	4	4,16	0,0	340000	1
828	2024-08-23	11:00	73	6	21,24	0,0	45000	1
829	2024-08-23	15:00	68	6	7,13	0,0	160000	1
830	2024-08-23	17:00	10	6	24	0	30000	1
831	2024-08-23	18:00	5	6	18	0	50000	1
832	2024-08-23	19:00	32	6	24	0	30000	1
833	2024-08-23	11:00	10	7	5,14	0,0	300000	1
834	2024-08-23	13:00	60	7	6	0	60000	1
835	2024-08-23	14:00	64	7	14	0	120000	1
836	2024-08-23	15:00	31	7	5,6	0,0	240000	1
837	2024-08-23	17:00	18	7	7,22	0,0	80000	1
838	2024-08-23	10:00	62	8	9,11	0,0	380000	1
839	2024-08-23	13:00	20	8	5,8	0,0	300000	1
840	2024-08-23	15:00	30	8	3,10	0,0	380000	1
841	2024-08-23	17:00	22	8	2,8	0,0	270000	1
842	2024-08-23	10:00	38	11	20	0	10000	1
843	2024-08-23	11:00	51	11	4,15	0,0	430000	1
844	2024-08-23	16:00	68	11	1,10	0,0	235000	1
845	2024-08-23	18:00	15	11	19	0	50000	1
846	2024-08-24	10:00	66	1	4,9	0,0	494000	1
847	2024-08-24	13:00	43	1	2,21	0,0	214500	1
848	2024-08-24	16:00	18	1	5,10	0,0	494000	1
849	2024-08-24	18:00	31	1	18	0	65000	1
850	2024-08-24	11:00	65	3	8,22	0,0	154000	1
851	2024-08-24	13:00	44	3	6,7	0,0	132000	1
852	2024-08-24	15:00	14	3	1,2	0,0	203500	1
853	2024-08-24	17:00	80	3	9,17	0,0	275000	1
854	2024-08-24	19:00	27	3	18	0	55000	1
855	2024-08-24	10:00	63	4	3,4	0,0	380000	1
856	2024-08-24	12:00	22	4	11	0	200000	1
857	2024-08-24	14:00	47	4	1	0	35000	1
858	2024-08-24	15:00	80	4	2	0	150000	1
859	2024-08-24	18:00	62	4	1,4	0,0	235000	1
860	2024-08-24	10:00	18	5	12,19	0,0	130000	1
861	2024-08-24	12:00	34	5	7,16	0,0	200000	1
862	2024-08-24	14:00	62	5	7	0	60000	1
863	2024-08-24	15:00	39	5	13	0	100000	1
864	2024-08-24	16:00	37	5	5,16	0,0	320000	1
865	2024-08-24	10:00	26	6	17,18	0,0	120000	1
866	2024-08-24	12:00	30	6	2,12	0,0	230000	1
867	2024-08-24	17:00	23	6	7,22	0,0	80000	1
868	2024-08-24	11:00	44	7	4,23	0,0	225000	1
869	2024-08-24	13:00	78	7	8	0	120000	1
870	2024-08-24	14:00	39	7	6,21	0,0	75000	1
871	2024-08-24	16:00	17	7	11	0	200000	1
872	2024-08-24	17:00	41	7	15	0	230000	1
873	2024-08-24	10:00	20	8	15,23	0,0	255000	1
874	2024-08-24	12:00	36	8	10	0	200000	1
875	2024-08-24	13:00	52	8	2	0	150000	1
876	2024-08-24	15:00	43	8	1,5	0,0	215000	1
877	2024-08-24	17:00	51	8	6,19	0,0	110000	1
878	2024-08-24	19:00	34	8	6	0	60000	1
879	2024-08-24	10:00	80	9	6,10	0,0	260000	1
880	2024-08-24	12:00	48	9	15	0	230000	1
881	2024-08-24	13:00	14	9	25	0	25000	1
882	2024-08-24	14:00	20	9	10,22	0,0	220000	1
883	2024-08-24	16:00	32	9	21	0	15000	1
884	2024-08-24	18:00	76	9	17,24	0,0	100000	1
885	2024-08-24	10:00	70	10	16,18	0,0	190000	1
886	2024-08-24	12:00	44	10	12	0	80000	1
887	2024-08-24	14:00	29	10	9	0	180000	1
888	2024-08-24	15:00	13	10	10,15	0,0	430000	1
889	2024-08-24	17:00	36	10	5,6	0,0	240000	1
890	2024-08-24	10:00	43	11	6,14	0,0	180000	1
891	2024-08-24	12:00	39	11	5,17	0,0	250000	1
892	2024-08-24	15:00	2	11	4,14	0,0	320000	1
893	2024-08-24	17:00	34	11	3,10	0,0	380000	1
899	2024-08-25	10:00	72	3	14,22	0,0	154000	1
907	2024-08-25	10:00	13	5	15	0	230000	1
910	2024-08-25	10:00	79	6	14	0	120000	1
915	2024-08-25	10:00	18	7	5,12	0,0	260000	1
921	2024-08-25	10:00	14	8	3,23	0,0	205000	1
926	2024-08-25	10:00	19	9	8,10	0,0	320000	1
932	2024-08-25	10:00	47	10	25	0	25000	1
939	2024-08-25	10:00	33	11	2,25	0,0	175000	1
903	2024-08-25	11:00	30	4	10	0	200000	1
933	2024-08-25	11:00	78	10	15,24	0,0	260000	1
894	2024-08-25	12:00	41	2	12	0	96000	1
904	2024-08-25	12:00	16	4	23	0	25000	1
908	2024-08-25	12:00	21	5	9	0	180000	1
911	2024-08-25	12:00	22	6	12,17	0,0	150000	1
922	2024-08-25	12:00	34	8	3	0	180000	1
927	2024-08-25	12:00	19	9	7,22	0,0	80000	1
940	2024-08-25	12:00	77	11	6,11	0,0	260000	1
895	2024-08-25	13:00	32	2	18	0	60000	0
905	2024-08-25	13:00	71	4	2,16	0,0	290000	0
916	2024-08-25	13:00	11	7	10	0	200000	0
923	2024-08-25	13:00	55	8	5,18	0,0	230000	0
934	2024-08-25	13:00	44	10	1,23	0,0	60000	0
900	2024-08-25	14:00	75	3	12,16	0,0	242000	0
917	2024-08-25	14:00	48	7	8,9	0,0	300000	0
928	2024-08-25	14:00	26	9	22	0	20000	0
896	2024-08-25	15:00	70	2	11	0	240000	0
906	2024-08-25	15:00	71	4	16,23	0,0	165000	0
912	2024-08-25	15:00	39	6	24	0	30000	0
924	2024-08-25	15:00	35	8	4,22	0,0	220000	0
929	2024-08-25	15:00	22	9	20	0	10000	0
935	2024-08-25	15:00	66	10	15	0	230000	0
941	2024-08-25	15:00	2	11	11	0	200000	0
901	2024-08-25	16:00	2	3	8	0	132000	0
909	2024-08-25	16:00	50	5	9,20	0,0	190000	0
918	2024-08-25	16:00	72	7	25	0	25000	0
930	2024-08-25	16:00	33	9	5,22	0,0	200000	0
936	2024-08-25	16:00	15	10	18	0	50000	0
942	2024-08-25	16:00	1	11	14,20	0,0	130000	0
897	2024-08-25	17:00	14	2	18	0	60000	0
902	2024-08-25	17:00	38	3	5,10	0,0	418000	0
913	2024-08-25	17:00	75	6	23	0	25000	0
919	2024-08-25	17:00	64	7	22	0	20000	0
937	2024-08-25	17:00	28	10	18	0	50000	0
898	2024-08-25	18:00	74	2	11,16	0,0	408000	0
914	2024-08-25	18:00	19	6	23	0	25000	0
920	2024-08-25	18:00	29	7	9,14	0,0	300000	0
925	2024-08-25	18:00	25	8	7,12	0,0	140000	0
931	2024-08-25	18:00	20	9	8	0	120000	0
938	2024-08-25	18:00	67	10	18	0	50000	0
943	2024-08-25	18:00	27	11	3,5	0,0	360000	0
944	2024-08-26	10:00	16	1	12	0	104000	0
950	2024-08-26	10:00	24	2	20,22	0,0	36000	0
960	2024-08-26	10:00	28	5	15,18	0,0	280000	0
964	2024-08-26	10:00	31	7	13	0	100000	0
969	2024-08-26	10:00	5	8	9,11	0,0	380000	0
973	2024-08-26	10:00	70	9	12,24	0,0	110000	0
982	2024-08-26	10:00	40	11	13,16	0,0	240000	0
945	2024-08-26	11:00	26	1	1,25	0,0	78000	0
955	2024-08-26	11:00	10	3	25	0	27500	0
977	2024-08-26	11:00	18	10	19	0	50000	0
951	2024-08-26	12:00	56	2	5,7	0,0	288000	0
961	2024-08-26	12:00	25	5	6	0	60000	0
970	2024-08-26	12:00	59	8	1,20	0,0	45000	0
946	2024-08-26	13:00	8	1	2,7	0,0	273000	0
956	2024-08-26	13:00	74	3	24	0	33000	0
962	2024-08-26	13:00	46	5	16,20	0,0	150000	0
965	2024-08-26	13:00	17	7	11	0	200000	0
974	2024-08-26	13:00	67	9	15,23	0,0	255000	0
983	2024-08-26	13:00	16	11	17	0	70000	0
957	2024-08-26	14:00	27	3	2,10	0,0	385000	0
966	2024-08-26	14:00	36	7	18	0	50000	0
978	2024-08-26	14:00	28	10	14,16	0,0	260000	0
984	2024-08-26	14:00	44	11	7,21	0,0	75000	0
947	2024-08-26	15:00	62	1	16	0	182000	0
952	2024-08-26	15:00	48	2	12,22	0,0	120000	0
967	2024-08-26	15:00	50	7	11,17	0,0	270000	0
971	2024-08-26	15:00	7	8	22	0	20000	0
975	2024-08-26	15:00	25	9	4	0	200000	0
958	2024-08-26	16:00	26	3	10,16	0,0	374000	0
948	2024-08-26	17:00	37	1	22	0	26000	0
953	2024-08-26	17:00	44	2	8,10	0,0	384000	0
963	2024-08-26	17:00	64	5	9,17	0,0	250000	0
968	2024-08-26	17:00	9	7	7	0	60000	0
972	2024-08-26	17:00	19	8	7,18	0,0	110000	0
976	2024-08-26	17:00	72	9	13,17	0,0	170000	0
979	2024-08-26	17:00	21	10	17	0	70000	0
949	2024-08-26	18:00	67	1	4,18	0,0	325000	0
959	2024-08-26	18:00	72	3	23,25	0,0	55000	0
980	2024-08-26	18:00	18	10	8	0	120000	0
